function	cpu_instructions	memory_bytes
initialize/cold	0	0
initialize/warm	0	0
fund_c_address/amount=100	0	0
fund_c_address/amount=1000000	0	0
fund_c_address/amount=1000000000	0	0
batch_fund_c_address/size=1	0	0
batch_fund_c_address/size=5	0	0
batch_fund_c_address/size=10	0	0
batch_fund_c_address/size=50	0	0
withdraw_fees/amount=10	0	0
withdraw_fees/amount=500	0	0
withdraw_fees/amount=5000	0	0
query_fee_bps	0	0
query_fee_collector	0	0
query_admin	0	0
query_is_initialized	0	0
query_is_paused	0	0
query_referral_rate	0	0
query_fee_balance	0	0
query_balance	0	0
query_is_blocked	0	0
query_is_allowlisted	0	0
query_allowlist_mode	0	0
query_nonce	0	0
query_calculate_fee	0	0
query_total_bridged	0	0
query_total_fees_collected	0	0
set_fee_bps	0	0
set_referral_rate	0	0
set_fee_collector	0	0
set_admin	0	0
add_asset	0	0
remove_asset	0	0
add_to_blocklist	0	0
remove_from_blocklist	0	0
add_to_allowlist	0	0
remove_from_allowlist	0	0
set_allowlist_mode	0	0
pause	0	0
unpause	0	0
